Date,Market_State,pred_z,regime_weight,pred_z_weighted,raw_signal,signal,hold_day,position,y_next_log_return,strategy_ret,equity
2024-09-21,bull_risk_off,1.3346484903334481,0.0,0.0,0,0,0,2.527495000035653e-44,0.0,-1.8956212500267395e-47,1.0067869689954128
2024-09-22,bull_risk_off,1.3259378343754056,0.0,0.0,0,0,0,1.0109980000142613e-44,0.0025160497122278,5.601054567486213e-47,1.0067869689954128
2024-09-23,bull_risk_off,1.1680121824781264,0.0,0.0,0,0,0,4.0439920000570454e-45,0.0093601877960852,9.159831741595755e-47,1.0067869689954128
2024-09-24,bull_risk_off,1.1295272657785884,0.0,0.0,0,0,0,1.6175968000228182e-45,0.0030129580444329,1.0971180628177053e-47,1.0067869689954128
2024-09-25,bull_risk_off,1.1832427641639411,0.0,0.0,0,0,0,6.4703872000912735e-46,0.0040156745693568,6.010463293317723e-48,1.0067869689954128
2024-09-26,bull_risk_off,1.1699874966507346,0.0,0.0,0,0,0,2.5881548800365094e-46,-0.0096345832906879,-6.428060056230763e-48,1.0067869689954128
2024-09-27,bull_risk_off,1.4473697311025642,0.0,0.0,0,0,0,1.0352619520146039e-46,0.0,-7.764464640109528e-50,1.0067869689954128
2024-09-28,bull_risk_off,1.3033519879786057,0.0,0.0,0,0,0,4.1410478080584155e-47,0.0,-3.1057858560438116e-50,1.0067869689954128
2024-09-29,bull_risk_off,1.294625298142348,0.0,0.0,0,0,0,1.6564191232233663e-47,-0.0031058091671656,-1.4103618586356366e-49,1.0067869689954128
2024-09-30,bull_risk_off,1.230226581432645,0.0,0.0,0,0,0,6.625676492893466e-48,0.0117661538198018,1.8992756456940353e-49,1.0067869689954128
2024-10-01,bull_risk_off,1.0689917922256358,0.0,0.0,0,0,0,2.6502705971573867e-48,-0.0076020050133842,-5.235612886390602e-50,1.0067869689954128
2024-10-02,bull_risk_off,1.373778249644771,0.0,0.0,0,0,0,1.0601082388629548e-48,0.0037706012135061,9.198032350613962e-51,1.0067869689954128
2024-10-03,bull_risk_off,1.1142241440686573,0.0,0.0,0,0,0,4.24043295545182e-49,-0.0042618438177637,-4.8360482156173344e-51,1.0067869689954128
2024-10-04,bull_risk_off,-0.8040523698126977,0.0,-0.0,0,0,0,1.6961731821807279e-49,0.0,-1.272129886635546e-52,1.0067869689954128
2024-10-05,bull_risk_off,1.2426747487347958,0.0,0.0,0,0,0,6.7846927287229115e-50,0.0,-5.0885195465421835e-53,1.0067869689954128
2024-10-06,bull_risk_off,1.2366962676706486,0.0,0.0,0,0,0,2.713877091489165e-50,-0.0003780289545175,-4.60021811757848e-53,1.0067869689954128
2024-10-07,bull_risk_off,1.2590914819496648,0.0,0.0,0,0,0,1.085550836595666e-50,-0.011331369094657,-3.15661061286447e-52,1.0067869689954128
2024-10-08,bull_risk_off,1.386307207897368,0.0,0.0,0,0,0,4.342203346382665e-51,-0.0034476188142327,-4.0682307390319656e-53,1.0067869689954128
